time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/std,train/clip_range
3443,110.63624100610464,62,40.89,36,1699840,0.0001,24.316829681396484,0.9326087832450867,0.026335404564936955,43.78399149576823,0.2578125,1880,32.096920013427734,0.0244688,0.07999999076128006,0.2
3443,110.6974721207066,63,40.88,37,1701888,0.0001,24.5504093170166,0.9384199976921082,0.024209647128979366,49.230525970458984,0.3294270833333333,1881,32.096920013427734,0.036569964,0.07999999076128006,0.2
3444,110.90112671613645,64,40.94,38,1703936,0.0001,18.476104736328125,0.9474284052848816,0.016503861484428246,37.48378880818685,0.2916666666666667,1882,32.096920013427734,0.031204298,0.07999999076128006,0.2
3444,111.57220163425798,65,41.14,38,1705984,0.0001,23.39129066467285,0.941844642162323,0.011215091372529665,44.471638997395836,0.24609375,1883,32.096920013427734,0.020994922,0.07999999076128006,0.2
3445,111.99176999748694,66,41.25,39,1708032,0.0001,22.828222274780273,0.9424504041671753,0.003934108031292756,45.30294418334961,0.2265625,1884,32.096920013427734,0.016939545,0.07999999076128006,0.2
3445,112.48593045508233,67,41.43,39,1710080,0.0001,22.86807632446289,0.9388289451599121,0.011029064965744814,46.22450637817383,0.2265625,1885,32.096920013427734,0.017392157,0.07999999076128006,0.2
3446,112.890839412797,68,41.59,40,1712128,0.0001,23.372570037841797,0.9479964375495911,0.0164843803892533,44.6990598042806,0.29296875,1886,32.096920013427734,0.026262492,0.07999999076128006,0.2
3447,113.40387447677675,69,41.77,40,1714176,0.0001,22.848806381225586,0.9382005929946899,0.004535016293327014,46.120086669921875,0.22786458333333334,1887,32.096920013427734,0.019844862,0.07999999076128006,0.2
3447,113.64769742791714,70,41.84,41,1716224,0.0001,21.43572425842285,0.9511875510215759,0.008276560809463263,44.93583297729492,0.24869791666666666,1888,32.096920013427734,0.024817474,0.07999999076128006,0.2
3447,114.16410446184409,71,42.05,42,1718272,0.0001,19.642866134643555,0.9433955550193787,0.019849599649508793,38.769046783447266,0.3098958333333333,1889,32.096920013427734,0.032683857,0.07999999076128006,0.2
3448,114.32829667981527,72,42.15,42,1720320,0.0001,20.970422744750977,0.9528632760047913,0.024941020955642063,49.28082275390625,0.27734375,1890,32.096920013427734,0.024774043,0.07999999076128006,0.2
3449,114.80568972390023,73,42.33,43,1722368,0.0001,20.898998260498047,0.945864200592041,0.025964453505973022,38.66902542114258,0.2526041666666667,1891,32.096920013427734,0.01908683,0.07999999076128006,0.2
3450,115.32469596570705,74,42.52,43,1724416,0.0001,23.409196853637695,0.9542027711868286,0.022828008979558945,43.666725158691406,0.31640625,1892,32.096920013427734,0.032913428,0.07999999076128006,0.2
3450,115.96799240984315,75,42.79,44,1726464,0.0001,16.91068458557129,0.9466722011566162,0.013174432019392649,40.98609924316406,0.2591145833333333,1893,32.096920013427734,0.022990307,0.07999999076128006,0.2
3452,116.4542748291357,76,43.0,45,1728512,0.0001,21.149316787719727,0.9532034397125244,0.01776500736984114,44.058877309163414,0.2669270833333333,1894,32.096920013427734,0.022322869,0.07999999076128006,0.2
3452,116.94703932348457,77,43.27,45,1730560,0.0001,19.13936424255371,0.9467020034790039,0.014091948047280312,41.02042007446289,0.23958333333333334,1895,32.096920013427734,0.017914576,0.07999999076128006,0.2
3453,117.27529272089816,78,43.4,46,1732608,0.0001,23.43682861328125,0.955194354057312,0.009497023187577724,44.04467010498047,0.26953125,1896,32.096920013427734,0.023298362,0.07999999076128006,0.2
3453,117.63597293139789,79,43.52,46,1734656,0.0001,17.587106704711914,0.9478105306625366,0.015648006228730083,40.011688232421875,0.2392578125,1897,32.096920013427734,0.018784482,0.07999999076128006,0.2
3454,117.56217678338403,80,43.5,47,1736704,0.0001,19.869314193725586,0.9599015712738037,0.018722380278632045,42.57229137420654,0.275390625,1898,32.096920013427734,0.02329626,0.07999999076128006,0.2
3455,117.40514887621451,81,43.39,48,1738752,0.0001,17.57682228088379,0.9535814523696899,0.01795452864219745,33.156564712524414,0.2265625,1899,32.096920013427734,0.018005991,0.07999999076128006,0.2
3454,117.64737149257792,82,43.42,48,1740800,0.0001,14.85634708404541,0.9672719240188599,0.011933502120276293,31.207104365030926,0.25,1900,32.096920013427734,0.020118041,0.07999999076128006,0.2
3455,118.13775742812733,83,43.54,49,1742848,0.0001,15.353656768798828,0.9621756076812744,0.03210856470589837,29.093599955240887,0.2877604166666667,1901,32.096920013427734,0.02876231,0.07999999076128006,0.2
3455,118.26038074362545,84,43.54,49,1744896,0.0001,14.010481834411621,0.9698154926300049,0.02797177468892187,25.51195526123047,0.23828125,1902,32.096920013427734,0.025939131,0.07999999076128006,0.2
3456,117.85530494584096,85,43.36,50,1746944,0.0001,14.456411361694336,0.9670559763908386,0.01495356671512127,28.04379177093506,0.283203125,1903,32.096920013427734,0.029649679,0.07999999076128006,0.2
3457,117.55176912100652,86,43.2,50,1748992,0.0001,10.59482192993164,0.9708643555641174,0.016118313185870647,23.56565570831299,0.283203125,1904,32.096920013427734,0.030914718,0.07999999076128006,0.2
3458,117.44708997242884,87,43.13,51,1751040,0.0001,15.174185752868652,0.9655810594558716,0.025475826114416122,28.943622589111328,0.267578125,1905,32.096920013427734,0.024654305,0.07999999076128006,0.2
3458,117.77207715683451,88,43.27,52,1753088,0.0001,11.163213729858398,0.9678992033004761,0.021876929327845573,27.11199378967285,0.23046875,1906,32.096920013427734,0.020163964,0.07999999076128006,0.2
3459,117.5861248943692,89,43.18,52,1755136,0.0001,13.734619140625,0.9659510254859924,0.00037504732608795166,28.039112091064453,0.25,1907,32.096920013427734,0.0255887,0.07999999076128006,0.2
3459,117.43495769274585,90,43.1,53,1757184,0.0001,15.023981094360352,0.9649043083190918,0.019609381444752216,31.007078170776367,0.23828125,1908,32.096920013427734,0.02148619,0.07999999076128006,0.2
3460,117.97020183140934,91,43.3,53,1759232,0.0001,11.066658020019531,0.9681733846664429,0.01488206535577774,24.93427276611328,0.244140625,1909,32.096920013427734,0.029833067,0.07999999076128006,0.2
3460,118.24660426446461,92,43.38,54,1761280,0.0001,14.394997596740723,0.9632911086082458,0.003091342281550169,29.22869873046875,0.216796875,1910,32.096920013427734,0.019542754,0.07999999076128006,0.2
3461,117.95344790571691,93,43.26,55,1763328,0.0001,16.200740814208984,0.9663040041923523,0.02202914748340845,32.228270530700684,0.232421875,1911,32.096920013427734,0.025283087,0.07999999076128006,0.2
3461,117.46623053775232,94,43.1,55,1765376,0.0001,18.509876251220703,0.96356600522995,0.013858812861144543,33.149041175842285,0.263671875,1912,32.096920013427734,0.026025238,0.07999999076128006,0.2
3462,117.45592623863662,95,43.1,56,1767424,0.0001,12.722824096679688,0.9669778347015381,0.01863362081348896,26.169397354125977,0.236328125,1913,32.096920013427734,0.02143039,0.07999999076128006,0.2
3462,117.68488244072996,96,43.18,56,1769472,0.0001,14.69864559173584,0.9648974537849426,0.024575015529990196,29.624935150146484,0.20703125,1914,32.096920013427734,0.02121462,0.07999999076128006,0.2
3462,117.58867871408187,97,43.17,57,1771520,0.0001,15.400219917297363,0.9702523946762085,0.022793103009462357,29.942020416259766,0.234375,1915,32.096920013427734,0.019887071,0.07999999076128006,0.2
3462,117.36653061988686,98,43.12,57,1773568,0.0001,13.569707870483398,0.9664013385772705,0.02800893527455628,26.03192710876465,0.34765625,1916,32.096920013427734,0.046805825,0.07999999076128006,0.2
3463,117.23427541644438,99,43.09,58,1775616,0.0001,16.347789764404297,0.9703817367553711,0.02596501198907693,30.957610448201496,0.3046875,1917,32.096920013427734,0.029437443,0.07999999076128006,0.2
3463,116.74412652514762,100,42.96,59,1777664,0.0001,11.38000774383545,0.9703813791275024,0.013038560127218565,23.093117396036785,0.2591145833333333,1918,32.096920013427734,0.020278255,0.07999999076128006,0.2
3463,116.6736184723274,101,42.93,59,1779712,0.0001,12.073875427246094,0.973473310470581,0.0038345747937758765,24.882017771402996,0.21223958333333334,1919,32.096920013427734,0.018598592,0.07999999076128006,0.2
3463,116.8592612372224,102,43.0,60,1781760,0.0001,10.370526313781738,0.9729788303375244,0.023727610086401302,20.255083719889324,0.3125,1920,32.096920013427734,0.028703703,0.07999999076128006,0.2
3464,117.26376110571925,103,43.19,60,1783808,0.0001,11.080181121826172,0.976128101348877,0.004748465493321419,24.12682819366455,0.224609375,1921,32.096920013427734,0.020302588,0.07999999076128006,0.2
3464,117.61686113871846,104,43.38,61,1785856,0.0001,9.473712921142578,0.9727947115898132,0.012425548397004604,19.71391487121582,0.267578125,1922,32.096920013427734,0.030187298,0.07999999076128006,0.2
3464,117.8455005831207,105,43.51,62,1787904,0.0001,10.077492713928223,0.977556049823761,0.033181268721818924,22.6640043258667,0.287109375,1923,32.096920013427734,0.04853442,0.07999999076128006,0.2
3465,118.13193320243583,106,43.68,62,1789952,0.0001,10.165867805480957,0.9730638265609741,0.02706765942275524,21.991189002990723,0.23828125,1924,32.096920013427734,0.029090809,0.07999999076128006,0.2
3465,118.46497705144995,107,43.84,63,1792000,0.0001,9.667997360229492,0.978411078453064,0.013938926276750863,19.486570358276367,0.236328125,1925,32.096920013427734,0.02746975,0.07999999076128006,0.2
3466,118.6390090494609,108,43.98,63,1794048,0.0001,10.768945693969727,0.9750096797943115,0.008699157740920782,21.863187789916992,0.265625,1926,32.096920013427734,0.030302025,0.07999999076128006,0.2
3466,119.58314020557894,109,44.33,64,1796096,0.0001,10.192338943481445,0.9775557518005371,0.016887557692825794,20.036640167236328,0.212890625,1927,32.096920013427734,0.017953208,0.07999999076128006,0.2
3467,120.2910324200004,110,44.57,64,1798144,0.0001,12.579218864440918,0.9732279181480408,0.012231565080583096,23.81575107574463,0.244140625,1928,32.096920013427734,0.019526964,0.07999999076128006,0.2
3466,121.37997132166133,111,44.95,65,1800192,0.0001,11.082939147949219,0.9752441048622131,0.022528106346726418,20.581650733947754,0.251953125,1929,32.096920013427734,0.02285038,0.07999999076128006,0.2
3467,122.14408930697351,112,45.24,66,1802240,0.0001,16.510175704956055,0.9717826247215271,0.030252531170845032,28.977314949035645,0.2578125,1930,32.096920013427734,0.040239252,0.07999999076128006,0.2
3467,122.43212067109341,113,45.42,66,1804288,0.0001,11.398120880126953,0.9713919758796692,0.02059804240707308,25.71900463104248,0.283203125,1931,32.096920013427734,0.038804688,0.07999999076128006,0.2
3468,122.53280362962155,114,45.52,67,1806336,0.0001,17.325395584106445,0.9697518944740295,0.02689362410455942,31.714611053466797,0.263671875,1932,32.096920013427734,0.033704348,0.07999999076128006,0.2
3468,122.6575499901239,115,45.66,67,1808384,0.0001,15.452220916748047,0.9645566344261169,0.009406919125467539,32.146833419799805,0.263671875,1933,32.096920013427734,0.03118048,0.07999999076128006,0.2
3469,123.97931051402878,116,46.22,68,1810432,0.0001,17.178552627563477,0.9671534895896912,0.02235301397740841,30.144193649291992,0.248046875,1934,32.096920013427734,0.03037747,0.07999999076128006,0.2
