rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/learning_rate,train/clip_range,train/n_updates,train/entropy_loss,train/explained_variance,train/std
132.39,343.0678646437908,1290240,4660,118,51,0.008701328498621782,80.2928237915039,0.2890625,143.50840759277344,0.029418727,0.0001,0.2,1653,32.096920013427734,0.9662796854972839,0.07999999076128006
131.72,341.4217689853158,1292288,4661,119,52,0.004817442347606023,156.3205108642578,0.22265625,307.05649820963544,0.020928456,0.0001,0.2,1654,32.096920013427734,0.9316576719284058,0.07999999076128006
130.42,337.9051714536699,1294336,4661,120,52,0.013891382608562708,89.14249420166016,0.2353515625,196.5308380126953,0.02044615,0.0001,0.2,1655,32.096920013427734,0.9550579190254211,0.07999999076128006
130.01,336.46579389545934,1296384,4661,121,53,0.006436373293399811,87.87576293945312,0.209375,219.15267028808594,0.01604947,0.0001,0.2,1656,32.096920013427734,0.9392422437667847,0.07999999076128006
128.97,333.6921764914776,1298432,4661,122,53,0.01702471524477005,84.98605346679688,0.23203125,185.91458435058593,0.017823335,0.0001,0.2,1657,32.096920013427734,0.9573586583137512,0.07999999076128006
129.3,334.5920965943548,1300480,4662,123,54,0.005625782844920953,108.54447174072266,0.15494791666666666,215.44247436523438,0.015791506,0.0001,0.2,1658,32.096920013427734,0.9412463307380676,0.07999999076128006
126.68,327.21112809594575,1302528,4662,124,54,0.019556014488140743,87.85826110839844,0.15494791666666666,184.15882364908853,0.013123852,0.0001,0.2,1659,32.096920013427734,0.950823187828064,0.07999999076128006
128.1,331.67118137631434,1304576,4663,125,54,0.009632371055583159,136.5816650390625,0.171875,262.39561971028644,0.014241849,0.0001,0.2,1660,32.096920013427734,0.9460565447807312,0.07999999076128006
130.4,338.3284035482065,1306624,4663,126,55,0.017057377961464226,105.62378692626953,0.224609375,206.91428756713867,0.02400736,0.0001,0.2,1661,32.096920013427734,0.9424393177032471,0.07999999076128006
129.43,335.74686487337755,1308672,4663,127,55,0.002094181952998042,86.88821411132812,0.1806640625,182.6709861755371,0.0142360255,0.0001,0.2,1662,32.096920013427734,0.9577472805976868,0.07999999076128006
129.53,336.23845337425547,1310720,4663,128,56,0.008751883637160063,96.47541046142578,0.2390625,180.49277954101564,0.018483251,0.0001,0.2,1663,32.096920013427734,0.9606067538261414,0.07999999076128006
130.72,340.19245084333556,1312768,4663,129,56,0.01833890119035329,73.7496337890625,0.265625,167.08358764648438,0.024505999,0.0001,0.2,1664,32.096920013427734,0.956267774105072,0.07999999076128006
