time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/n_updates,train/entropy_loss,train/value_loss,train/std,train/clip_fraction,train/learning_rate,train/explained_variance
60,2058240,201.73900010740104,84.39,3693,109,0.0021347547881305218,0.020743974,0.2,32.0381965637207,2070,32.096920013427734,60.44330883026123,0.07999999076128006,0.232421875,0.0001,0.9706284999847412
61,2060288,204.819801301193,85.53,3692,110,0.02083855587989092,0.021207534,0.2,34.84520721435547,2071,32.096920013427734,72.88308143615723,0.07999999076128006,0.2568359375,0.0001,0.9690003395080566
61,2062336,203.39878474400547,84.92,3691,111,0.021319454535841942,0.019467032,0.2,23.790597915649414,2072,32.096920013427734,48.721720377604164,0.07999999076128006,0.23828125,0.0001,0.9768754839897156
62,2064384,206.22064860478505,86.2,3691,112,0.012582173260549704,0.027565151,0.2,33.50358200073242,2073,32.096920013427734,65.1336898803711,0.07999999076128006,0.2838541666666667,0.0001,0.9717626571655273
62,2066432,202.4135401699658,84.66,3691,113,0.01983823316792647,0.027257508,0.2,31.787981033325195,2074,32.096920013427734,63.15657170613607,0.07999999076128006,0.30078125,0.0001,0.9729198217391968
63,2068480,199.66671291436845,83.54,3690,114,0.011288835667073727,0.024851551,0.2,20.27690887451172,2075,32.096920013427734,49.84701919555664,0.07999999076128006,0.2877604166666667,0.0001,0.9798497557640076
63,2070528,198.86494935284568,83.39,3690,115,0.0026071838413675628,0.013152364,0.2,23.836063385009766,2076,32.096920013427734,49.444010416666664,0.07999999076128006,0.17317708333333334,0.0001,0.9783920645713806
64,2072576,196.9397717834688,82.41,3689,116,0.0123717508589228,0.016107775,0.2,24.70037841796875,2077,32.096920013427734,51.1561164855957,0.07999999076128006,0.19661458333333334,0.0001,0.9765791893005371
64,2074624,196.16234998251406,82.32,3688,117,0.0040355393042167025,0.014617301,0.2,20.19769859313965,2078,32.096920013427734,45.465755462646484,0.07999999076128006,0.20833333333333334,0.0001,0.9784915447235107
65,2076672,194.77574829897213,81.76,3688,118,0.01622060500085354,0.019977136,0.2,17.290616989135742,2079,32.096920013427734,35.776039123535156,0.07999999076128006,0.248046875,0.0001,0.985967218875885
66,2078720,197.058910504174,82.67,3687,119,0.01416676607914269,0.023341263,0.2,20.431581497192383,2080,32.096920013427734,41.9728946685791,0.07999999076128006,0.271484375,0.0001,0.9642871022224426
66,2080768,195.34967886573048,82.05,3687,120,0.005355840548872948,0.017073618,0.2,16.697336196899414,2081,32.096920013427734,33.92733383178711,0.07999999076128006,0.197265625,0.0001,0.9853870272636414
67,2082816,196.43334811245285,82.33,3687,121,0.019588318886235356,0.02548661,0.2,18.027238845825195,2082,32.096920013427734,82.1716480255127,0.07999999076128006,0.267578125,0.0001,0.9514889717102051
67,2084864,198.2852583433071,83.29,3687,122,0.011784701840952039,0.02010436,0.2,19.471426010131836,2083,32.096920013427734,42.52186584472656,0.07999999076128006,0.21875,0.0001,0.9808603525161743
68,2086912,198.27894560622454,83.36,3686,123,0.006247559562325478,0.017411862,0.2,41.28392028808594,2084,32.096920013427734,109.9729232788086,0.07999999076128006,0.22265625,0.0001,0.9568735957145691
68,2088960,197.46755636767767,83.22,3686,124,0.024720524127284687,0.040138807,0.2,25.2745418548584,2085,32.096920013427734,142.17144393920898,0.07999999076128006,0.3411458333333333,0.0001,0.9344401955604553
69,2091008,195.46278109766578,82.77,3686,125,0.02040735601137082,0.024020359,0.2,50.089290618896484,2086,32.096920013427734,192.77934773763022,0.07999999076128006,0.265625,0.0001,0.9291395545005798
70,2093056,187.20806433768863,79.32,3686,126,0.014960565293828646,0.018957024,0.2,30.896739959716797,2087,32.096920013427734,188.663698832194,0.07999999076128006,0.22395833333333334,0.0001,0.9279029369354248
70,2095104,187.70638698086125,79.73,3686,127,0.007093005580827594,0.018854856,0.2,107.45465850830078,2088,32.096920013427734,316.7230758666992,0.07999999076128006,0.23828125,0.0001,0.8576542735099792
71,2097152,190.47528434004025,80.94,3684,128,0.006440286990255117,0.01629078,0.2,26.45318603515625,2089,32.096920013427734,89.82948398590088,0.07999999076128006,0.21484375,0.0001,0.9593322277069092
71,2099200,189.48128645773804,80.45,3683,129,0.009532934240996837,0.017681153,0.2,25.49637794494629,2090,32.096920013427734,49.94698715209961,0.07999999076128006,0.215625,0.0001,0.9775084257125854
72,2101248,196.10619150761303,83.6,3682,130,0.005491585237905383,0.021423273,0.2,103.63418579101562,2091,32.096920013427734,176.3717918395996,0.07999999076128006,0.24609375,0.0001,0.9319660663604736
72,2103296,193.51485493673263,82.63,3682,131,0.016134065110236406,0.018989293,0.2,20.07965087890625,2092,32.096920013427734,63.687844594319664,0.07999999076128006,0.2747395833333333,0.0001,0.9631543159484863
73,2105344,194.51161951649794,83.15,3682,132,0.004317173423866431,0.016677916,0.2,113.58133697509766,2093,32.096920013427734,211.06566874186197,0.07999999076128006,0.21744791666666666,0.0001,0.9127649664878845
