time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,train/std,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/entropy_loss,train/loss,train/learning_rate
1210368,178,397.1306104122982,335,146.44,3849,0.45648640394210815,0.41220703125,-0.03154331913683563,0.05320118,0.966031014919281,2950,0.2,59.18216400146484,-18.344173192977905,26.466495513916016,0.0003
1212416,178,395.28744064620025,336,146.23,3849,0.45658913254737854,0.2716796875,-0.03469485264504328,0.028719205,0.9332395195960999,2955,0.2,95.96854972839355,-18.3603111743927,20.824254989624023,0.0003
1214464,179,394.46146558064015,337,146.13,3850,0.45678743720054626,0.21806640625,-0.028586830280255528,0.028869607,0.901546061038971,2960,0.2,129.14776792526246,-18.36727342605591,20.85677146911621,0.0003
1216512,179,394.31437105315194,338,146.14,3850,0.45766037702560425,0.6498046875,-0.024158089607954025,0.3011834,0.9803603291511536,2965,0.2,14.326573395729065,-18.39450216293335,4.158220291137695,0.0003
1218560,180,393.34880611535164,339,146.38,3850,0.4579210579395294,0.55322265625,-0.009470284741837531,0.055726863,0.7128095626831055,2970,0.2,112.69606666564941,-18.437051153182985,70.70511627197266,0.0003
1220608,180,394.52462708931597,340,147.08,3850,0.4580717980861664,0.41669921875,-0.026134412502869964,0.053223245,0.9840540885925293,2975,0.2,37.30584444999695,-18.449467182159424,8.766621589660645,0.0003
1222656,181,392.8009999819442,341,146.83,3850,0.4581816494464874,0.42080078125,-0.032692446606233716,0.04109461,0.8118100166320801,2980,0.2,155.1835060119629,-18.458001041412352,97.63517761230469,0.0003
1224704,181,392.05205598021536,342,146.95,3850,0.4582046568393707,0.27392578125,-0.033302534744143485,0.029460069,0.9483596086502075,2985,0.2,117.44538850784302,-18.462433052062988,21.611785888671875,0.0003
1226752,182,391.82115702566557,343,146.85,3851,0.4582812786102295,0.2341796875,-0.029725029214750974,0.022142736,0.9327757954597473,2990,0.2,96.13052959442139,-18.46566481590271,34.48891830444336,0.0003
1228800,182,394.44367390883474,344,147.67,3851,0.45840972661972046,0.215625,-0.028421392873860897,0.022156317,0.9016082286834717,2995,0.2,163.3649814605713,-18.470978450775146,48.11665725708008,0.0003
